NAME                                                                         VERSION                                            TYPE      
go.opentelemetry.io/otel/exporters/otlp/internal/retry                       v1.10.0                                            go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace                            v1.10.0                                            go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc              v1.10.0                                            go-module  
go.opentelemetry.io/otel/metric                                              v0.31.0                                            go-module  
go.opentelemetry.io/otel/sdk                                                 v1.10.0                                            go-module  
go.opentelemetry.io/otel/trace                                               v1.10.0                                            go-module  
go.opentelemetry.io/proto/otlp                                               v0.19.0                                            go-module  
go.starlark.net                                                              v0.0.0-20200306205701-8dd3e2ee1dd5                 go-module  
go.uber.org/atomic                                                           v1.10.0                                            go-module  
go.uber.org/atomic                                                           v1.4.0                                             go-module  
go.uber.org/multierr                                                         v1.1.0                                             go-module  
go.uber.org/multierr                                                         v1.8.0                                             go-module  
go.uber.org/zap                                                              v1.10.0                                            go-module  
go.uber.org/zap                                                              v1.24.0                                            go-module  
golang.org/x/crypto                                                          v0.0.0-20200414173820-0848c9571904                 go-module  
golang.org/x/crypto                                                          v0.7.0                                             go-module  
golang.org/x/exp                                                             v0.0.0-20230321023759-10a507213a29                 go-module  
golang.org/x/net                                                             v0.0.0-20191014212845-da9a3fd4c582                 go-module  
golang.org/x/net                                                             v0.8.0                                             go-module  
golang.org/x/net                                                             v0.9.0                                             go-module  
golang.org/x/oauth2                                                          v0.0.0-20190604053449-0f29369cfe45                 go-module  
golang.org/x/oauth2                                                          v0.0.0-20220223155221-ee480838109b                 go-module  
golang.org/x/oauth2                                                          v0.7.0                                             go-module  
golang.org/x/sync                                                            v0.1.0                                             go-module  
golang.org/x/sys                                                             v0.0.0-20200116001909-b77594299b42                 go-module  
golang.org/x/sys                                                             v0.6.0                                             go-module  
golang.org/x/sys                                                             v0.7.0                                             go-module  
golang.org/x/term                                                            v0.6.0                                             go-module  
golang.org/x/term                                                            v0.7.0                                             go-module  
golang.org/x/text                                                            v0.3.2                                             go-module  
golang.org/x/text                                                            v0.8.0                                             go-module  
golang.org/x/text                                                            v0.9.0                                             go-module  
golang.org/x/time                                                            v0.0.0-20190921001708-c4c64cad1fd0                 go-module  
golang.org/x/time                                                            v0.0.0-20220210224613-90d013bbcef8                 go-module  
golang.org/x/time                                                            v0.3.0                                             go-module  
golang.org/x/tools                                                           v0.0.0-20191216173652-a0e659d51361                 go-module  
golang.org/x/xerrors                                                         v0.0.0-20191204190536-9bdfabe68543                 go-module  
google.golang.org/genproto                                                   v0.0.0-20191223191004-3caeed10a8bf                 go-module  
google.golang.org/genproto                                                   v0.0.0-20230410155749-daa745c078e1                 go-module  
google.golang.org/grpc                                                       v1.28.1                                            go-module  
google.golang.org/grpc                                                       v1.54.0                                            go-module  
google.golang.org/protobuf                                                   v1.28.1                                            go-module  
google.golang.org/protobuf                                                   v1.30.0                                            go-module  
gopkg.in/inf.v0                                                              v0.9.1                                             go-module  
gopkg.in/natefinch/lumberjack.v2                                             v2.2.1                                             go-module  
gopkg.in/square/go-jose.v2                                                   v2.3.1                                             go-module  
gopkg.in/yaml.v2                                                             v2.2.8                                             go-module  
gopkg.in/yaml.v2                                                             v2.4.0                                             go-module  
gopkg.in/yaml.v3                                                             v3.0.1                                             go-module  
gpg                                                                          1.15.1                                             python     
helm.sh/helm/v3                                                              v3.2.0                                             go-module  
idna                                                                         2.10                                               python     
iniparse                                                                     0.4                                                python     
istio.io/api                                                                 v0.0.0-20200708135631-b736e804afd1                 go-module  
istio.io/api                                                                 v0.0.0-20230426171729-6ffd9df402e9                 go-module  
istio.io/gogo-genproto                                                       v0.0.0-20200511213158-02f1fd1746e5                 go-module  
istio.io/istio                                                               (devel)                                            go-module  
istio.io/istio                                                               v0.0.0-20230427035138-3654b3040c3d                 go-module  
istio.io/pkg                                                                 v0.0.0-20200511212725-7bfbbf968c23                 go-module  
k8s.io/api                                                                   v0.18.1                                            go-module  
k8s.io/api                                                                   v0.27.0                                            go-module  
k8s.io/apiextensions-apiserver                                               v0.18.0                                            go-module  
k8s.io/apiextensions-apiserver                                               v0.27.0                                            go-module  
k8s.io/apimachinery                                                          v0.18.1                                            go-module  
k8s.io/apimachinery                                                          v0.27.0                                            go-module  
k8s.io/apiserver                                                             v0.27.0                                            go-module  
k8s.io/cli-runtime                                                           v0.18.0                                            go-module  
k8s.io/client-go                                                             v0.18.0                                            go-module  
k8s.io/client-go                                                             v0.27.0                                            go-module  
k8s.io/cloud-provider                                                        v0.27.0                                            go-module  
k8s.io/component-base                                                        v0.27.0                                            go-module  
k8s.io/component-helpers                                                     v0.27.0                                            go-module  
k8s.io/controller-manager                                                    v0.27.0                                            go-module  
k8s.io/klog/v2                                                               v2.90.1                                            go-module  
k8s.io/kms                                                                   v0.27.0                                            go-module  
k8s.io/kube-openapi                                                          v0.0.0-20200121204235-bf4fb3bd569c                 go-module  
k8s.io/kube-openapi                                                          v0.0.0-20230327201221-f5883ff37f0c                 go-module  
k8s.io/kube-openapi                                                          v0.0.0-20230501164219-8b0f38b5fd1f                 go-module  
k8s.io/kubectl                                                               v0.18.0                                            go-module  
k8s.io/kubectl                                                               v0.27.0                                            go-module  
k8s.io/kubelet                                                               v0.27.0                                            go-module  
k8s.io/kubernetes                                                            fa3d7990104d7c1f16943a67f11b154b71f6a132           go-module  
k8s.io/kubernetes                                                            v1.27.0                                            go-module  
k8s.io/utils                                                                 v0.0.0-20200324210504-a9aa75ae1b89                 go-module  
k8s.io/utils                                                                 v0.0.0-20230209194617-a36077c30491                 go-module  
k8s.io/utils                                                                 v0.0.0-20230711102312-30195339c3c7                 go-module  
libcomps                                                                     0.1.18                                             python     
pyinotify                                                                    0.9.6                                              python     
python-dateutil                                                              2.8.1                                              python     
requests                                                                     2.25.1                                             python     
rpm                                                                          4.16.1.3                                           python     
setuptools                                                                   53.0.0                                             python     
sigs.k8s.io/apiserver-network-proxy/konnectivity-client                      v0.1.1                                             go-module  
sigs.k8s.io/controller-runtime                                               v0.13.1-0.20230315234915-a26de2d610c3              go-module  
sigs.k8s.io/controller-runtime                                               v0.5.1-0.20200327213554-2d4c4877f906               go-module  
sigs.k8s.io/json                                                             v0.0.0-20221116044647-bc3834ca7abd                 go-module  
sigs.k8s.io/kustomize                                                        v2.0.3+incompatible                                go-module  
sigs.k8s.io/kustomize/api                                                    v0.13.2                                            go-module  
sigs.k8s.io/kustomize/kustomize/v5                                           v5.0.1                                             go-module  
sigs.k8s.io/kustomize/kyaml                                                  v0.14.1                                            go-module  
sigs.k8s.io/service-apis                                                     v0.0.0-20200227172328-b9010cfacdbe                 go-module  
sigs.k8s.io/structured-merge-diff/v3                                         v3.0.0                                             go-module  
sigs.k8s.io/structured-merge-diff/v4                                         v4.2.3                                             go-module  
sigs.k8s.io/yaml                                                             v1.1.0                                             go-module  
sigs.k8s.io/yaml                                                             v1.2.0                                             go-module  
sigs.k8s.io/yaml                                                             v1.3.0                                             go-module  
six                                                                          1.15.0                                             python     
subscription-manager                                                         1.29.33.1                                          python     
systemd-python                                                               234                                                python     
urllib3                                                                      1.26.5                                             python     
