NAME                                              VERSION                                   TYPE      
python39                                          3.9.16-1.module+el8.8.0+18968+3d7b19f0.1  rpm        
python39-libs                                     3.9.16-1.module+el8.8.0+18968+3d7b19f0.1  rpm        
python39-pip                                      20.2.4-7.module+el8.6.0+13003+6bb2c488    rpm        
python39-pip-wheel                                20.2.4-7.module+el8.6.0+13003+6bb2c488    rpm        
python39-setuptools                               50.3.2-4.module+el8.5.0+12204+54860423    rpm        
python39-setuptools-wheel                         50.3.2-4.module+el8.5.0+12204+54860423    rpm        
readline                                          7.0-10.el8                                rpm        
redhat-release                                    8.8-0.8.el8                               rpm        
requests                                          2.20.0                                    python     
requests                                          2.31.0                                    python     
requests-oauthlib                                 1.3.1                                     python     
requests-unixsocket                               0.3.0                                     python     
resolvelib                                        1.0.1                                     python     
rootfiles                                         8.1-22.el8                                rpm        
rpm                                               4.14.3                                    python     
rpm                                               4.14.3-26.el8                             rpm        
rpm-build-libs                                    4.14.3-26.el8                             rpm        
rpm-libs                                          4.14.3-26.el8                             rpm        
rsa                                               4.9                                       python     
sed                                               4.5-5.el8                                 rpm        
setup                                             2.12.2-9.el8                              rpm        
setuptools                                        39.2.0                                    python     
setuptools                                        68.0.0                                    python     
shadow-utils                                      2:4.6-17.el8                              rpm        
sigs.k8s.io/controller-runtime                    v0.14.5                                   go-module  
sigs.k8s.io/json                                  v0.0.0-20220713155537-f223a00ba0e2        go-module  
sigs.k8s.io/structured-merge-diff/v4              v4.2.3                                    go-module  
sigs.k8s.io/yaml                                  v1.3.0                                    go-module  
six                                               1.11.0                                    python     
six                                               1.16.0                                    python     
sqlite-libs                                       3.26.0-18.el8_8                           rpm        
subscription-manager                              1.28.36                                   python     
subscription-manager                              1.28.36-2.el8                             rpm        
subscription-manager-rhsm-certificates            1.28.36-2.el8                             rpm        
syspurpose                                        1.28.36                                   python     
systemd                                           239-74.el8_8.2                            rpm        
systemd-libs                                      239-74.el8_8.2                            rpm        
systemd-pam                                       239-74.el8_8.2                            rpm        
systemd-python                                    234                                       python     
tar                                               2:1.30-9.el8                              rpm        
tpm2-tss                                          2.3.2-4.el8                               rpm        
tzdata                                            2023c-1.el8                               rpm        
urllib3                                           1.24.2                                    python     
urllib3                                           1.26.16                                   python     
usermode                                          1.113-2.el8                               rpm        
util-linux                                        2.32.1-42.el8_8                           rpm        
vim-minimal                                       2:8.0.1763-19.el8_6.4                     rpm        
virt-what                                         1.25-3.el8                                rpm        
virtualenv                                        20.24.2                                   python     
virtualenv-clone                                  0.5.7                                     python     
websocket-client                                  1.6.1                                     python     
which                                             2.21-18.el8                               rpm        
xz-libs                                           5.2.4-4.el8_6                             rpm        
yum                                               4.7.0-16.el8_8                            rpm        
zipp                                              3.16.2                                    python     
zlib                                              1.2.11-21.el8_7                           rpm        
